,fire_size_class,Temp_pre_30,Temp_pre_15,Temp_pre_7,Temp_cont,Wind_pre_30,Wind_pre_15,Wind_pre_7,Wind_cont,Hum_pre_30,Hum_pre_15,Hum_pre_7,Hum_cont,Prec_pre_30,Prec_pre_15,Prec_pre_7,Prec_cont
3686,B,3,4,4,4,6,6,6,6,5,5,6,4,5,2,4,3
3687,B,1,1,2,3,4,3,4,5,6,6,6,1,1,0,0,5
3688,C,0,0,1,1,3,2,4,6,3,4,2,3,3,4,4,3
3689,B,6,6,6,6,1,1,2,1,6,6,5,6,4,1,0,5
3690,B,6,6,6,6,5,5,4,3,0,0,0,1,0,1,2,5
3691,B,6,6,6,5,4,5,5,3,4,3,3,6,4,5,6,6
3692,B,2,2,1,1,0,1,1,2,2,2,2,3,0,0,1,5
3693,B,2,1,1,3,6,5,5,5,2,2,4,2,4,4,4,4
3694,B,4,4,4,5,2,1,1,2,3,4,5,5,2,2,4,6
3695,B,6,5,5,4,0,0,0,0,6,6,6,4,4,4,4,2
3696,B,4,4,4,1,0,1,2,2,4,4,5,4,3,5,4,5
3697,B,2,2,2,0,0,0,0,1,4,4,6,3,5,2,4,4
3698,B,2,2,2,2,1,1,1,1,1,1,3,1,2,2,3,6
3699,C,5,5,5,5,1,1,1,1,1,2,3,5,1,2,3,6
3700,C,2,2,2,3,3,2,2,1,3,3,2,4,6,6,6,5
3701,C,5,5,5,5,3,1,1,2,4,4,6,6,6,6,6,6
3702,B,6,6,6,6,0,0,1,0,2,3,2,4,1,2,3,4
3703,B,3,3,3,3,3,1,2,3,1,2,3,1,3,0,1,4
3704,C,1,1,1,0,3,4,3,3,4,4,4,5,3,5,3,2
3705,C,4,3,2,2,5,6,6,6,6,6,6,3,3,1,2,1
3706,C,4,4,5,5,2,2,2,1,1,1,1,3,4,3,0,6
3707,B,1,2,1,3,3,3,4,4,4,4,5,3,2,3,3,1
3708,B,0,0,0,0,6,6,6,5,2,4,6,4,0,0,0,0
3709,C,4,5,5,5,6,6,6,6,2,1,2,2,6,6,6,5
3710,B,4,4,5,5,1,1,0,0,2,3,2,3,1,3,0,3
3711,B,3,3,4,3,6,5,6,6,1,4,2,0,4,5,3,1
3712,B,2,2,2,2,1,4,4,1,5,6,6,6,4,6,6,4
3713,B,2,1,2,3,1,2,2,1,1,2,2,1,3,5,5,3
3714,B,4,5,5,5,2,2,2,2,3,3,4,4,1,0,0,4
3715,B,6,6,6,6,6,6,6,4,0,0,0,0,2,3,5,0
3716,C,0,0,0,0,6,6,6,6,3,3,4,2,1,3,5,0
3717,B,5,5,6,6,4,3,3,4,1,1,1,4,2,3,2,6
3718,B,0,1,2,0,4,6,3,4,3,1,0,3,3,4,0,3
3719,B,0,0,0,0,6,6,6,6,6,6,5,4,5,6,6,4
3720,B,1,1,1,2,5,5,5,5,5,6,3,3,2,4,1,2
3721,C,6,6,5,5,1,3,4,0,0,1,2,2,5,6,6,3
3722,B,3,3,3,0,0,0,0,2,4,5,5,6,0,0,0,2
3723,B,3,4,4,5,0,0,0,0,5,5,5,6,3,3,3,5
3724,C,5,5,4,3,1,2,3,2,6,6,6,5,6,6,6,5
3725,B,5,4,4,3,0,0,0,0,2,2,2,4,1,1,2,5
3726,B,5,5,6,6,4,4,3,1,1,1,2,1,0,0,0,3
3727,B,6,6,6,5,2,1,2,3,5,5,6,6,3,1,3,4
3728,B,2,3,4,3,3,2,1,1,2,3,5,6,1,1,0,6
3729,B,5,4,4,4,0,0,0,0,3,2,3,1,3,4,5,0
3730,B,4,3,3,3,1,1,0,3,5,4,4,6,2,0,0,5
3731,B,6,6,6,5,0,2,3,1,6,6,6,6,6,6,6,0
3732,C,3,2,3,4,4,3,3,4,2,3,2,4,4,2,2,4
3733,B,6,5,5,5,0,2,1,1,6,6,6,6,0,0,0,3
3734,B,1,1,1,2,4,4,3,5,3,5,5,4,4,5,5,5
3735,B,3,3,2,1,4,4,4,4,4,4,4,4,3,1,2,2
3736,B,4,4,4,4,6,6,6,6,5,6,5,2,0,0,0,2
3737,B,2,3,4,3,4,4,4,5,4,3,5,0,5,4,3,3
3738,C,0,0,0,0,4,4,4,2,4,3,3,5,2,3,0,4
3739,B,4,4,5,5,4,2,3,4,6,6,5,6,2,4,0,3
3740,B,2,2,2,4,3,3,4,4,4,6,4,3,5,5,6,0
3741,B,6,6,6,6,1,2,1,0,4,4,3,5,1,3,1,3
3742,B,1,1,1,0,1,2,3,1,4,3,1,5,4,3,3,5
